11904 2452049.2500000  293.710 38.760 1008.590
11904 2452049.5000000  296.820 38.440 1007.860
11904 2452049.7500000  299.850 38.150 1006.800
11904 2452050.0000000  303.290 38.210 1007.650
11904 2452050.2500000  307.210 38.520 1006.970
11904 2452050.5000000  312.370 39.400 1005.670
11904 2452050.7500000  317.570 41.810 1000.380
11904 2452051.0000000  320.380 44.010 994.760
11904 2452051.2500000  321.700 46.320 986.580
11904 2452051.5000000  321.590 47.240 981.420
11904 2452051.7500000  322.590 47.510 981.350
11904 2452052.0000000  323.350 48.370 982.830
11904 2452052.2500000  323.020 49.330 983.420
11904 2452052.5000000  322.840 49.710 985.450
11904 2452052.7500000  322.850 50.150 985.630
11904 2452053.0000000  323.090 50.830 988.270
11904 2452053.2500000  323.020 52.000 990.570
11904 2452053.5000000  322.030 52.890 993.680
11904 2452053.7500000  320.520 53.070 995.540
11904 2452054.0000000  318.960 52.660 998.440
11904 2452054.2500000  317.350 52.140 999.200
11904 2452054.5000000  315.950 51.200 1001.000
11904 2452054.7500000  314.820 50.040 1001.030
11904 2452055.0000000  314.010 48.730 1002.740
11904 2452055.2500000  314.750 47.150 1003.780
