25670 2452183.5000000  316.000 82.990 1000.990
25670 2452183.7500000  312.340 83.090 998.360
25670 2452184.0000000  319.420 82.920 996.840
25670 2452184.2500000  324.140 83.380 996.600
25670 2452184.5000000  297.110 83.750 994.040
25670 2452184.7500000  304.310 84.320 994.360
25670 2452185.0000000  306.580 84.980 993.020
25670 2452185.2500000  318.270 85.300 994.200
25670 2452185.5000000  334.500 85.740 995.590
25670 2452187.5000000  357.000 88.020 1003.860
25670 2452187.7500000  358.560 88.850 1004.250
