 5745 2451950.0000000  339.710 52.470 990.790
 5745 2451950.2500000  341.270 54.820 989.020
 5745 2451950.5000000  341.340 57.390 988.070
 5745 2451950.7500000  341.780 59.190 988.780
 5745 2451951.0000000  339.780 60.880 985.420
 5745 2451951.2500000  332.970 61.400 977.960
 5745 2451951.5000000  333.370 61.200 979.130
 5745 2451951.7500000  336.960 64.790 981.620
 5745 2451952.0000000  338.640 65.910 985.110
 5745 2451952.2500000  340.770 66.200 988.140
 5745 2451952.5000000  332.310 69.140 1001.040
