 7611 2451991.2500000  293.330 8.360 1009.040
 7611 2451991.5000000  292.600 8.050 1008.380
 7611 2451991.7500000  290.980 6.850 1009.790
 7611 2451992.0000000  291.070 6.460 1010.740
 7611 2451992.2500000  292.750 7.730 1007.800
 7611 2451992.5000000  292.270 7.750 1006.410
 7611 2451992.7500000  291.490 7.200 1008.760
 7611 2451993.0000000  290.820 6.080 1010.780
 7611 2451993.2500000  292.010 7.380 1008.190
 7611 2451993.5000000  291.640 7.600 1006.700
 7611 2451993.7500000  291.240 7.170 1009.580
 7611 2451994.0000000  291.030 6.560 1011.760
 7611 2451994.2500000  292.030 7.580 1009.400
 7611 2451994.5000000  291.790 7.680 1007.310
 7611 2451994.7500000  291.250 7.310 1009.890
